horizon,config_number,fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,train_rows,validation_rows,mae,rmse,mape_pct,wape_pct
24,1,fold_1,0.9,0.03,4,5,400,0.0,1.0,0.9,5998,2208,3151.5409908571105,4080.573212799803,3.5205565321228005,3.601307986460141
24,1,fold_2,0.9,0.03,4,5,400,0.0,1.0,0.9,8206,2160,3630.1512152777777,4995.226852535769,3.5073901855889043,3.6448277385123897
24,1,fold_3,0.9,0.03,4,5,400,0.0,1.0,0.9,10366,2184,2651.9332968463827,3536.7229011758614,2.8617035593598295,2.966031222939
24,1,fold_4,0.9,0.03,4,5,400,0.0,1.0,0.9,12550,2208,3440.4906943500905,4319.833536780995,3.318938218059162,3.333891096839666
24,2,fold_1,0.9,0.03,4,5,700,0.0,1.0,0.9,5998,2208,2988.028429998868,3888.569376130699,3.3388159516443263,3.4144599990743916
24,2,fold_2,0.9,0.03,4,5,700,0.0,1.0,0.9,8206,2160,3456.990552662037,4748.230921250914,3.3392627231037775,3.470966995834556
24,2,fold_3,0.9,0.03,4,5,700,0.0,1.0,0.9,10366,2184,2430.105475904304,3266.313932332197,2.628294755211697,2.7179298684241093
24,2,fold_4,0.9,0.03,4,5,700,0.0,1.0,0.9,12550,2208,3326.5151544100995,4184.2215640698705,3.1986180753529916,3.223446956273488
24,3,fold_1,0.9,0.03,6,5,400,0.0,1.0,0.9,5998,2208,3169.7092108242755,4159.562575838526,3.534796934942678,3.6220690540957294
24,3,fold_2,0.9,0.03,6,5,400,0.0,1.0,0.9,8206,2160,3670.9320240162037,4981.578422843773,3.5555474149095634,3.6857734220594622
24,3,fold_3,0.9,0.03,6,5,400,0.0,1.0,0.9,10366,2184,2564.9524775354853,3466.4136069200317,2.745430788950667,2.868748298749417
24,3,fold_4,0.9,0.03,6,5,400,0.0,1.0,0.9,12550,2208,3256.833552706069,4144.98500712214,3.105494788571003,3.1559243578499276
24,4,fold_1,0.9,0.03,6,5,700,0.0,1.0,0.9,5998,2208,3102.7552543308425,4081.0693893765683,3.4596586720250286,3.5455598736838545
24,4,fold_2,0.9,0.03,6,5,700,0.0,1.0,0.9,8206,2160,3571.010749421296,4853.09440003058,3.455078775602194,3.585448170654429
24,4,fold_3,0.9,0.03,6,5,700,0.0,1.0,0.9,10366,2184,2468.9246544471152,3346.0847465373254,2.6407543804341618,2.7613468336033398
24,4,fold_4,0.9,0.03,6,5,700,0.0,1.0,0.9,12550,2208,3200.2459132982335,4090.266727353611,3.045184227525065,3.101090020549506
24,5,fold_1,0.9,0.05,4,5,400,0.0,1.0,0.9,5998,2208,3016.175484035326,3926.240658516269,3.36495190870707,3.446624013691652
24,5,fold_2,0.9,0.05,4,5,400,0.0,1.0,0.9,8206,2160,3336.7727973090277,4528.5698427895495,3.2407384955620464,3.350263205995648
24,5,fold_3,0.9,0.05,4,5,400,0.0,1.0,0.9,10366,2184,2457.89738939446,3294.506437183163,2.664135893415544,2.749013487026073
24,5,fold_4,0.9,0.05,4,5,400,0.0,1.0,0.9,12550,2208,3342.783351732337,4204.068694516269,3.2170321712776744,3.239211102446969
24,6,fold_1,0.9,0.05,4,5,700,0.0,1.0,0.9,5998,2208,2923.5359240545745,3825.1706097081105,3.2586246604348945,3.3407635510834535
24,6,fold_2,0.9,0.05,4,5,700,0.0,1.0,0.9,8206,2160,3229.3910300925927,4396.936089917693,3.1324508792806736,3.2424472995634988
24,6,fold_3,0.9,0.05,4,5,700,0.0,1.0,0.9,10366,2184,2316.2767213255493,3123.6641129857358,2.512083339865175,2.590619109684311
24,6,fold_4,0.9,0.05,4,5,700,0.0,1.0,0.9,12550,2208,3261.70997155231,4107.151820898473,3.1303340117642646,3.1606496865370954
24,7,fold_1,0.9,0.05,6,5,400,0.0,1.0,0.9,5998,2208,3080.1085753509965,4056.6536401203684,3.426193400088937,3.519681211114171
24,7,fold_2,0.9,0.05,6,5,400,0.0,1.0,0.9,8206,2160,3640.697312644676,4980.264316365032,3.5075217033309647,3.655416473233454
24,7,fold_3,0.9,0.05,6,5,400,0.0,1.0,0.9,10366,2184,2461.3426375057234,3350.4604691416134,2.635998676561029,2.752866794151456
24,7,fold_4,0.9,0.05,6,5,400,0.0,1.0,0.9,12550,2208,3209.3416270380435,4114.884737338658,3.059648717334848,3.109903914191582
24,8,fold_1,0.9,0.05,6,5,700,0.0,1.0,0.9,5998,2208,3041.508392776268,4009.2152723622503,3.383551987119795,3.475572266890227
24,8,fold_2,0.9,0.05,6,5,700,0.0,1.0,0.9,8206,2160,3585.599142795139,4925.022727039827,3.4495631101576105,3.6000955441868405
24,8,fold_3,0.9,0.05,6,5,700,0.0,1.0,0.9,10366,2184,2406.3756510416665,3278.0226118657133,2.574994746544042,2.6913894567398655
24,8,fold_4,0.9,0.05,6,5,700,0.0,1.0,0.9,12550,2208,3192.053555253623,4099.65537172048,3.034808527625811,3.0931514931784245
