horizon,config_number,fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,train_rows,validation_rows,mae,rmse,mape_pct,wape_pct
48,1,fold_1,0.9,0.03,4,5,400,0.0,1.0,0.9,5998,2208,3892.716251981431,5067.605431032845,4.321540392095134,4.4482588574776125
48,1,fold_2,0.9,0.03,4,5,400,0.0,1.0,0.9,8206,2160,4049.0739547164353,5432.372621487766,3.9367379174001327,4.065444162030378
48,1,fold_3,0.9,0.03,4,5,400,0.0,1.0,0.9,10366,2184,2948.5031085451005,4049.2439451185564,3.1589994135837496,3.297727092637374
48,1,fold_4,0.9,0.03,4,5,400,0.0,1.0,0.9,12550,2208,3486.406791355299,4352.242872564333,3.431075113366553,3.378384537051167
48,2,fold_1,0.9,0.03,4,5,700,0.0,1.0,0.9,5998,2208,3751.2068684895835,4910.94448391992,4.1601083563390455,4.286554194772386
48,2,fold_2,0.9,0.03,4,5,700,0.0,1.0,0.9,8206,2160,3775.6214048032407,5082.133286536299,3.672292010954338,3.7908860568759932
48,2,fold_3,0.9,0.03,4,5,700,0.0,1.0,0.9,10366,2184,2841.996336996337,3881.918917018147,3.049585939659422,3.178605540732683
48,2,fold_4,0.9,0.03,4,5,700,0.0,1.0,0.9,12550,2208,3344.668711786685,4198.887175783527,3.2783575898689388,3.241038046815646
48,3,fold_1,0.9,0.03,6,5,400,0.0,1.0,0.9,5998,2208,3801.5702948086505,4986.165136554203,4.2094820481731405,4.344105154748644
48,3,fold_2,0.9,0.03,6,5,400,0.0,1.0,0.9,8206,2160,4048.5728515625,5464.334123523258,3.933313877080665,4.06494103294098
48,3,fold_3,0.9,0.03,6,5,400,0.0,1.0,0.9,10366,2184,2848.801081730769,4038.5362721122365,3.024561873201647,3.186216246993831
48,3,fold_4,0.9,0.03,6,5,400,0.0,1.0,0.9,12550,2208,3346.2971899060235,4281.729009724934,3.245352985235207,3.242616068436916
48,4,fold_1,0.9,0.03,6,5,700,0.0,1.0,0.9,5998,2208,3755.174121801404,4932.210209691753,4.154495033441898,4.291087628123759
48,4,fold_2,0.9,0.03,6,5,700,0.0,1.0,0.9,8206,2160,3899.8658890335646,5253.154483762578,3.785224450668681,3.9156328554594784
48,4,fold_3,0.9,0.03,6,5,700,0.0,1.0,0.9,10366,2184,2763.3460572630493,3934.9863915991523,2.932675917742194,3.0906398344838766
48,4,fold_4,0.9,0.03,6,5,700,0.0,1.0,0.9,12550,2208,3253.654675469882,4188.976116371699,3.144760973352958,3.152843974422915
48,5,fold_1,0.9,0.05,4,5,400,0.0,1.0,0.9,5998,2208,3738.688533174819,4890.554715156674,4.14579795553953,4.2722493257965315
48,5,fold_2,0.9,0.05,4,5,400,0.0,1.0,0.9,8206,2160,3730.0860966435184,5036.0129162713065,3.6288465505539746,3.745166651699764
48,5,fold_3,0.9,0.05,4,5,400,0.0,1.0,0.9,10366,2184,2853.3009744162086,3944.069923343097,3.0489911726839276,3.1912491119685122
48,5,fold_4,0.9,0.05,4,5,400,0.0,1.0,0.9,12550,2208,3415.721386011096,4284.817520173523,3.3413633448720157,3.309889236674237
48,6,fold_1,0.9,0.05,4,5,700,0.0,1.0,0.9,5998,2208,3665.041546365489,4784.132013797985,4.0612600044584095,4.188091930241593
48,6,fold_2,0.9,0.05,4,5,700,0.0,1.0,0.9,8206,2160,3616.827119502315,4885.766694889689,3.5099243461895413,3.63144977407151
48,6,fold_3,0.9,0.05,4,5,700,0.0,1.0,0.9,10366,2184,2759.2022414434523,3815.0920754866966,2.9473990210148666,3.0860052205146453
48,6,fold_4,0.9,0.05,4,5,700,0.0,1.0,0.9,12550,2208,3265.1387355638585,4136.951478262227,3.1747232498890567,3.163972214288744
48,7,fold_1,0.9,0.05,6,5,400,0.0,1.0,0.9,5998,2208,3825.960831351902,5011.905869647534,4.232381872362718,4.371976546649332
48,7,fold_2,0.9,0.05,6,5,400,0.0,1.0,0.9,8206,2160,3965.046994357639,5265.455470878389,3.8569213314313076,3.9810774847939907
48,7,fold_3,0.9,0.05,6,5,400,0.0,1.0,0.9,10366,2184,2774.702141283196,3914.148365262675,2.9524732189882146,3.1033409457124765
48,7,fold_4,0.9,0.05,6,5,400,0.0,1.0,0.9,12550,2208,3285.3898784250455,4201.567882396657,3.181926887199128,3.183595899072025
48,8,fold_1,0.9,0.05,6,5,700,0.0,1.0,0.9,5998,2208,3808.329533231431,4990.559009996859,4.20976766282365,4.351829026779808
48,8,fold_2,0.9,0.05,6,5,700,0.0,1.0,0.9,8206,2160,3870.4587745949075,5128.914354084406,3.7639454608308935,3.88610684950013
48,8,fold_3,0.9,0.05,6,5,700,0.0,1.0,0.9,10366,2184,2729.9944911858975,3857.4125683113116,2.9025841639030787,3.053338071865495
48,8,fold_4,0.9,0.05,6,5,700,0.0,1.0,0.9,12550,2208,3244.2259963768115,4173.1722169459745,3.134926004011443,3.143707431971291
